PurchaseAmountUSD,NumberofEngagements,SubscriptionDuration,
30.33,24,31,
0.00,474,371,
35.97,100,94,
327.08,16,28766,
162.99,20,28768,
0.00,270,28903,
35.97,84,94,
35.97,79,183,
0.00,65,28771,
0.00,147,184,
65.94,119,189,
35.97,31,92,
0.00,25,182,
0.00,43,28840,
214.92,82,29033,
0.00,25,365,
42.46,21,91,
0.00,94,366,
79.00,17,183,
0.00,156,28780,
0.00,10,28768,
19.99,62,91,
0.00,142,291,
208.95,38,28778,
170.10,6,28791,
138.63,114,28770,
0.00,39,366,
0.00,16,350,
143.76,16,730,
0.00,116,274,
0.00,107,184,
35.97,76,183,
0.00,210,731,
0.00,125,182,
299.00,209,28804,
0.00,22,104,
199.00,14,28771,
0.00,70,366,
112.17,10,184,
0.00,51,90,
0.00,136,366,
0.00,2,181,
0.00,117,196,
79.00,10,186,
0.00,17,29101,
0.00,365,140,
35.97,16,100,
0.00,24,183,
42.88,25,90,
93.48,2,366,
30.88,12,92,
0.00,34,368,
0.00,16,365,
0.00,103,371,
13.65,20,244,
0.00,44,28777,
35.97,102,281,
0.00,9,28767,
0.00,275,365,
199.00,54,28780,
0.00,98,200,
84.53,44,91,
0.00,182,228,
189.00,36,28794,
0.00,86,365,
199.00,7,28767,
32.16,10,182,
0.00,137,365,
0.00,142,182,
0.00,309,181,
0.00,1,61,
0.00,478,457,
69.00,50,182,
53.60,1,268,
17.33,22,184,
35.97,147,472,
0.00,140,416,
0.00,21,62,
189.00,11,28797,
0.00,71,111,
0.00,42,92,
97.79,64,182,
0.00,48,274,
0.00,36,92,
42.12,136,91,
35.97,68,98,
0.00,52,316,
0.00,1,731,
89.00,149,731,
38.94,111,366,
0.00,37,91,
39.00,12,91,
0.00,1,92,
0.00,31,369,
0.00,35,731,
0.00,36,365,
68.15,5,190,
0.00,54,458,
0.00,78,56,
0.00,271,549,
65.94,27,184,
0.00,15,28969,
0.00,8,368,
9.54,1,823,
0.00,33,547,
0.00,45,368,
0.00,34,259,
0.00,34,92,
0.00,692,29176,
58.41,39,182,
108.84,430,366,
0.00,82,92,
35.97,99,95,
0.00,56,316,
0.00,95,365,
189.00,69,28803,
39.00,22,91,
79.00,13,274,
0.00,7,31,
0.00,73,90,
0.00,52,365,
0.00,131,296,
0.00,71,343,
13.91,1,366,
0.00,69,92,
0.00,518,458,
0.00,451,344,
0.00,29,338,
0.00,98,184,
0.00,3,182,
0.00,22,365,
0.00,51,28778,
0.00,48,92,
189.00,50,28796,
0.00,53,29245,
0.00,1,90,
0.00,592,191,
